index,w_out,w_effective,LCOH
4353,1093.0924955993762,1123.8292699722053,0.03132776283529258
4354,788.0594986769872,820.4424777751472,0.04291227939894428
4355,2982.510541144852,2999.4030272802966,0.011738021371863848
4356,781.7010265738103,814.1169090269798,0.04324570150388866
4357,607.3663055565905,607.2318815771254,0.05797959215449651
4358,1237.3635181327584,1272.113424011573,0.03510225758906851
4359,1231.2918153197384,1272.8002373463833,0.04403814848110138
4360,3890.6518093844657,3768.2847239876983,0.01798200328285252
4361,4749.8139980427595,4525.189043325985,0.014974249170298898
4362,1407.7761241623639,1400.1474136598126,0.048395838621270656
4363,4706.897525380529,4488.537640762273,0.015096522230782075
4365,3579.2466740314426,3485.0624586071244,0.01608343222102347
4364,8252.37533443195,8132.848339666866,0.008331805223389348
4366,3952.9137099445397,3824.919296490235,0.011674508566269868
4367,4757.561305008006,4531.790853375417,0.01495243502400361
4368,8583.967979847515,7996.313816392865,0.011329134172059914
4369,9517.372706103668,8689.516873051078,0.010425356602823727
4370,8595.213727923905,8005.048430238371,0.011316772521401678
4371,3107.692327939394,3079.355390502681,0.029418920721918655
4372,8526.416765709688,7951.480589071259,0.011393011791077313
4376,655.5832543803255,668.293131190307,0.032074630820536375
4374,3990.3239881684894,3936.947494815945,0.014592337636065914
4377,791.2270176146642,803.4783218124877,0.02667807566291981
4373,11157.5035706819,10644.558621707278,0.008510574776024045
4375,5620.108203107166,5461.886388708606,0.007949525078936771
4378,2812.490693166321,2812.386547009695,0.007621731616381355
4379,818.2247668391807,830.3805426758182,0.025813773759385563
4380,730.047259616613,732.4047491035888,0.029266953128122948
4381,2793.020443768666,2795.4012752180906,0.015532440086604375
4382,1889.2370066652281,1907.609358828714,0.030115844648137182
4383,794.0970155546012,806.3382336185514,0.02658345415004791
4384,1836.0816133762505,1816.095082916885,0.016548625412044726
4385,1715.5136110051749,1698.8298471135058,0.01769092842989108
4387,1975.8777625901555,1951.5167475855312,0.015400266114565143
4388,1831.0284689719765,1811.1887722455417,0.016593453813534047
4386,1888.2221141364985,1866.6758065192798,0.016100212546220422
4389,2571.8585054471355,2559.9877158792715,0.011739852130315915
4390,2433.7893590025565,2389.2549644947035,0.016258790893463156
4391,2736.1731921953365,2674.1089471540417,0.03217374449997149
4392,7029.917669418875,6778.1124169989325,0.014807005378348967
4393,6488.576437450966,6290.896751288377,0.015953774315720988
4394,6216.248387851715,6042.457646875295,0.016609722877488037
4395,6682.451704038694,6466.466180053654,0.01552061732312723
4398,3689.9221187480493,3652.376812455223,0.010635922538554988
4396,3589.619035409112,3450.4180118912445,0.02908735888453869
4400,4709.403578507371,4674.0143892505275,0.008719172333246511
4397,5287.34604769145,5182.114015313308,0.01660250966624481
4401,3931.996983634003,3915.3076598250987,0.010408770009601186
4399,6675.402338886244,6460.10290935519,0.015535905297764802
4402,4615.495372823986,4582.691954858557,0.008892925239005537
4403,4890.79276781318,4850.133723905617,0.008402559448429414
4404,4672.497677380638,4638.136157167086,0.008786619358936851
4406,6921.75732507833,6789.090459409356,0.007490695571548942
4405,1144.6289361223642,1112.5065375290126,0.036632177495753815
4407,4003.0436050941485,3983.284673227048,0.008124009334291887
4408,1670.697268825281,1564.7121322410178,0.026491695760799256
4409,1575.1103269578653,1487.6410820961976,0.027864165798750156
4410,1478.3495260779725,1406.9045708080298,0.029463176551308968
4411,1562.1561491002594,1476.9835738132301,0.028065225975087437
4413,1092.4681065057746,1064.5651714293833,0.030397614664575686
4412,5000.605025414655,4953.6823560998855,0.008367891758242707
4414,1605.114938789516,1512.2225945234536,0.033629314905963804
4416,2446.262337494409,2440.475642825114,0.010364372302058512
4415,1556.5143315648058,1472.3270084281899,0.02815398856590512
4423,1629.2936412374702,1630.3261300996846,0.011483134530682658
4418,2459.1204284541786,2453.1777803624527,0.01031070734409143
4417,2585.115773690238,2577.579088971643,0.009813083239450241
4419,371.29774273911374,378.43448469218146,0.06683851281925109
4420,2000.0881614648458,1999.0035926897167,0.01265330299997673
4421,1476.2687779287899,1460.0924254603292,0.017323559601626255
4424,447.53393890373246,446.3332971504788,0.07440225980839262
4426,2070.630936482155,2027.3268090551799,0.016380292406433898
4422,4956.872311863082,4884.849902922164,0.008536815509186647
4425,449.2735285292001,448.0623653864804,0.07411514222374463
4428,715.3949264307965,722.5096776940044,0.04596229913724518
4427,542.9706039880499,541.1251129317169,0.061368813130498495
4429,126.22513636246589,126.25826104189308,0.14827746023375152
4431,464.5946473684087,463.2890946785852,0.07167923078086953
4433,337.3058042015049,336.1339670916369,0.22129701991007047
4430,581.7926218823116,579.5108895039895,0.07195906611350697
4435,2332.7449035269833,2220.3368604258867,0.033501873762371785
4432,392.16251869388606,390.5640269690257,0.19045646826513343
4438,202.1331440783408,201.78881067916953,0.2681168282977207
4434,390.52690201066974,388.9346506760469,0.19125435360061654
4436,399.45339135901196,397.8325342866744,0.18697677740535792
4440,5254.970583079556,5188.234778562034,0.008557133692009358
4441,2648.829422854892,2646.8521773808293,0.01677328979876013
